ID,EOZ,,his_id,id,,,
1040305600,5.6164179891034145,,133711,641396800,,#N/A,5.555438642759011
1096219900,5.246206816844151,,133619,678237800,,#N/A,5.222945232127357
1103164700,5.117725680197261,,119092,860310300,,#N/A,5.08258046472073
1000307400,5.3265288407000195,,121778,900789400,,#N/A,5.4801142916459025
1008077600,5.34888928001647,,136834,911872100,,#N/A,5.426508335037543
1008231400,5.75461096157639,,134035,912771500,,#N/A,5.321698223409632
1009960200,5.286794911972842,,123539,914115800,,#N/A,5.466196427492311
1009982100,5.543056021027413,,133352,925168800,,#N/A,5.394285594172799
1010573400,5.179575165231292,,111765,976211200,,#N/A,5.4030860659543
1011750000,5.701382078414052,,114098,992324700,,#N/A,5.270169320207569
1013319600,5.370613134376636,,137154,996561100,,#N/A,5.240844613017666
1016399600,5.007858706890539,,117302,1008077600,,#N/A,5.34888928001647
1016432800,5.209734713384525,,133438,1016399600,,#N/A,5.007858706890539
1016466100,5.209395541627345,,118947,1016432800,,#N/A,5.209734713384525
1017864800,5.438795330216109,,133731,1023265000,,#N/A,5.637039010100894
1019112600,5.305589070371538,,119952,1025224600,,#N/A,5.103538123639197
1023265000,5.637039010100894,,121210,1036260300,,#N/A,5.391081860797893
1025224600,5.103538123639197,,121320,1037262700,,#N/A,5.543905998315621
1036260300,5.391081860797893,,121692,1040305600,,#N/A,5.6164179891034145
1037262700,5.543905998315621,,121734,1040653100,,#N/A,5.608792448435473
1040653100,5.608792448435473,,122694,1045891400,,#N/A,5.420808840933059
1045891400,5.420808840933059,,123384,1047567300,,#N/A,5.532065410033509
1047567300,5.532065410033509,,123551,1048415700,,#N/A,5.371490398860496
1048415700,5.371490398860496,,137682,1057145800,,#N/A,5.284454874274527
1057145800,5.284454874274527,,133483,1072840200,,#N/A,5.287017718689795
1072840200,5.287017718689795,,133381,1093257000,,#N/A,5.367223799558472
1093257000,5.367223799558472,,133412,1094163200,,#N/A,5.724201169387488
1094163200,5.724201169387488,,133435,1094246800,,#N/A,5.410130651739891
1094246800,5.410130651739891,,133437,1094258600,,#N/A,5.400214761391465
1094258600,5.400214761391465,,133448,1094306400,,#N/A,5.5994387617295605
1094306400,5.5994387617295605,,133460,1094363100,,#N/A,5.461633133518502
1094363100,5.461633133518502,,133486,1094560100,,#N/A,5.433233486704519
1094560100,5.433233486704519,,133521,1094882400,,#N/A,5.11054694472018
1094882400,5.11054694472018,,133548,1095121900,,#N/A,5.572481475064086
1095121900,5.572481475064086,,133579,1095412200,,#N/A,5.807723841087733
1095412200,5.807723841087733,,133627,1095944600,,#N/A,5.637039010100894
1095944600,5.637039010100894,,133648,1096219900,,#N/A,5.246206816844151
1096411000,5.5411430954223695,,133670,1096411000,,#N/A,5.5411430954223695
1096415100,5.511938631980768,,133673,1096415100,,#N/A,5.511938631980768
1097552300,5.2156478279323935,,133780,1097552300,,#N/A,5.2156478279323935
1097852300,5.045323071037943,,133805,1097852300,,#N/A,5.045323071037943
1097854200,5.654530319380911,,133807,1097854200,,#N/A,5.654530319380911
1098754100,5.670825330017506,,133874,1098754100,,#N/A,5.670825330017506
1098851100,5.230307527868749,,133890,1098851100,,#N/A,5.230307527868749
1099036600,5.2207520818471975,,133931,1099036600,,#N/A,5.2207520818471975
1099062200,5.339303324758949,,133932,1099062200,,#N/A,5.339303324758949
1100109000,5.743878503867671,,134000,1100109000,,#N/A,5.743878503867671
1100488000,5.268552210497924,,134030,1100488000,,#N/A,5.268552210497924
1100851400,5.027586686629318,,134048,1100851400,,#N/A,5.027586686629318
1101088900,5.54595957228742,,134059,1101088900,,#N/A,5.54595957228742
1101180700,5.1404573647160605,,134072,1101180700,,#N/A,5.1404573647160605
1101555400,5.272610882503335,,134090,1101555400,,#N/A,5.272610882503335
